,出現度数
,9302
EPTCS,2687
Atlas Publications,589
The CMS Collaboration,571
Cms Collaboration,341
The ATLAS Collaboration,259
Delfim F. M. Torres,246
Scientific Information Service CERN,237
Alice Publications,233
Lorenzo Iorio,192
Brant M. Johnson,178
Craig Roberts,168
Shin'ichi Nojiri,166
Ernest Ma,160
Zhi-Gang Wang,159
Matt Visser,158
Du\v{s}an Repov\v{s},158
Subir Sachdev,156
Andrei Mironov,156
Muhammad Sharif,155
Salvatore Capozziello,153
Bo-Qiang Ma,150
Andres Santos,144
Xiang Liu,143
Galina L. Klimchitskaya,140
Andrei Linde,138
Olaf Lechtenfeld,138
Massimo Giovannini,136
Cosimo Bambi,134
Robert Shrock,134
Miloslav Znojil,132
Yaroslav Kartashov,129
Ashoke Sen,129
Tao Zhou,127
Dionisio Bazeia,127
Kazem Azizi,126
Cynthia J. Olson Reichhardt,126
Axel Brandenburg,126
Shahar Hod,124
Stefano Longhi,124
David Blaschke,124
Stefano Bellucci,121
Vyacheslav Yukalov,121
Ali Mostafazadeh,120
Ulrich Jentschura,119
Mikko Laine,118
Matjaz Perc,118
Michael Bonitz,118
Kouichi Hagino,118
Holger Fehske,118
Matteo G. A. Paris,117
Salvatore Mele,116
Sidney Redner,115
Denys Dutykh,115
Jorge Pullin,114
Mohammad Reza Setare,113
Tiberiu Harko,113
Martin Bojowald,112
Xin Zhang,112
Ed Stoeffhaas,111
Vasilis Oikonomou,111
Bernd Kniehl,111
Anzhong Wang,111
C. Q. Geng,110
Yu-Gang Ma,110
Prof. Dr. M. W. Wu,109
Jan Timmermans,109
Mattias Marklund,109
Ruslan Prozorov,107
Hai-Yang Cheng,107
Mark Wilde,106
Jing Wang,105
Valery Lyubovitskij,105
Bruce Elmegreen,105
N. W. Evans,105
Noam Soker,104
Hong Lu,103
Jens Eisert,103
Luis Anchordoqui,103
Preprints Libr/pam,102
Thorsten Wissmann,101
Pierre-Henri Chavanis,101
Helmut Katzgraber,100
Matthias Steinhauser,100
Cheongho Han,100
Pran Nath,99
Robert Brandenberger,99
Mikhail Voloshin,99
Matthias Neubert,99
Matteo Beccaria,99
Victor Goncalves,97
Haret Rosu,97
Jihn E. Kim,97
Adan Cabello,96
Howard Baer,96
Wei Wang,95
Johannes Bluemlein,95
Andreas Fring,95
Richard Szabo,94
"J\""urgen Koslowski",94
Kourosh Nozari,94
Wei-Xing Zhou,94
Carlos Bertulani,94
Alessandro Strumia,94
Anisa Bajkova,94
Cecile Monthus,93
Dietrich Belitz,93
Changhyun Ahn,93
Pavel Exner,93
Richard Woodard,93
Yu-Xiao Liu,93
Wei Liu,92
Wei Chen,92
Antoni Szczurek,92
Maxim Chernodub,92
Pamela Morehouse,91
Sannino Francesco,91
Dan Hooper,91
Shinji Tsujikawa,91
J. E. Hirsch,90
Michael Strickland,90
Niels Asger Mortensen,90
Mustafa Savci,90
Dietrich Stauffer,89
C. J. A. P. Martins,89
Frans Klinkhamer,89
Vladimir Privman,89
John Gracey,88
Xiao-Gang He,88
Bin Chen,88
Danny Marfatia,87
Secretary Aircc Journal,87
Giovanni Amelino-Camelia,87
Veer Awana Dr,87
Igor Shovkovy,87
Vasily E. Tarasov,86
Alan Kostelecky,86
Thomas Vojta,86
Kimball A. Milton,86
Gerald Teschl,86
Michel Pleimling,86
Hyun-Chul Kim,86
Eric Linder,85
